Name,Status,Acknowledged,Cluster,Volume Group,Storage System,WWPNs,Associated Resource,Host Type,FC Ports,Volumes
"DEV01B_IASP_01","Online","No",,"DEV01B_IASP_01","IBM.2107-75KBM71","C050760A00670138, C050760A0067013A, C050760A0067013C, C050760A0067013E",,"IBM iSeries - OS/400","4",
"DEV01B_IASP_02","Online","No",,"DEV01B_IASP_02","IBM.2107-75KBM71","C050760A00670142, C050760A00670140, C050760A00670146, C050760A00670144",,"IBM iSeries - OS/400","4",
"DEV01B_IASP_03","Online","No",,"DEV01B_IASP_03","IBM.2107-75KBM71","C050760A0067014C, C050760A0067014A, C050760A00670148, C050760A0067014E",,"IBM iSeries - OS/400","4",
"DEV01B_IASP_04","Online","No",,"DEV01B_IASP_04","IBM.2107-75KBM71","C050760A00670154, C050760A00670150, C050760A00670156, C050760A00670152",,"IBM iSeries - OS/400","4",
"DEV01B_IASP_05","Online","No",,"DEV01B_IASP_05","IBM.2107-75KBM71","C050760A0067015E, C050760A0067015C, C050760A00670158, C050760A0067015A",,"IBM iSeries - OS/400","4",
"DEV01B_IASP_06","Online","No",,"DEV01B_IASP_06","Lexington Blue (IBM.2107-75KBM71)","C050760A00670160, C050760A00670166, C050760A00670164, C050760A00670162",,"IBM iSeries - OS/400","4",
"DEV01B_IASP_07","Online","No",,"DEV01B_IASP_07","IBM.2107-75KBM71","C050760A00670168, C050760A0067016C, C050760A0067016A, C050760A0067016E",,"IBM iSeries - OS/400","4",
"DEV01B_sys_01","Online","No",,"DEV01B_sys_01","IBM.2107-75KBM71","C050760A0067008C, C050760A006700A6, C050760A00670076, C050760A00670066","DEV01B_sys_01","IBM iSeries - OS/400","4","44"
"DEV01B_sys_02","Online","No",,"DEV01B_sys_02","IBM.2107-75KBM71","C050760A00670090, C050760A00670068, C050760A006700A8, C050760A00670078","DEV01B_sys_02","IBM iSeries - OS/400","4","44"
"PRD02B_RPT_01","Online","No",,"PRD02B_RPT_01","IBM.2107-75KBM71","C0507609152D01DC, C0507609152D01F0, C0507609152D01C8, C0507609152D01B4",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_02","Online","No",,"PRD02B_RPT_02","IBM.2107-75KBM71","C0507609152D01F2, C0507609152D01DE, C0507609152D01B6, C0507609152D01CA",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_03","Online","No",,"PRD02B_RPT_03","IBM.2107-75KBM71","C0507609152D01E0, C0507609152D01F4, C0507609152D01CC, C0507609152D01B8",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_04","Online","No",,"PRD02B_RPT_04","IBM.2107-75KBM71","C0507609152D01F6, C0507609152D01E2, C0507609152D01BA, C0507609152D01CE",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_05","Online","No",,"PRD02B_RPT_05","IBM.2107-75KBM71","C0507609152D01F8, C0507609152D01E4, C0507609152D01BC, C0507609152D01D0",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_06","Online","No",,"PRD02B_RPT_06","IBM.2107-75KBM71","C0507609152D01D2, C0507609152D01FA, C0507609152D01BE, C0507609152D01E6",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_07","Online","No",,"PRD02B_RPT_07","IBM.2107-75KBM71","C0507609152D01E8, C0507609152D01D4, C0507609152D01C0, C0507609152D01FC",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_08","Online","No",,"PRD02B_RPT_08","IBM.2107-75KBM71","C0507609152D021C, C0507609152D0212, C0507609152D01FE, C0507609152D0208",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_09","Online","No",,"PRD02B_RPT_09","IBM.2107-75KBM71","C0507609152D0214, C0507609152D0200, C0507609152D021E, C0507609152D020A",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_10","Online","No",,"PRD02B_RPT_10","IBM.2107-75KBM71","C0507609152D020C, C0507609152D0202, C0507609152D0216, C0507609152D0220",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_11","Online","No",,"PRD02B_RPT_11","IBM.2107-75KBM71","C0507609152D0204, C0507609152D020E, C0507609152D0218, C0507609152D0222",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_12","Online","No",,"PRD02B_RPT_12","IBM.2107-75KBM71","C0507609152D0206, C0507609152D021A, C0507609152D0210, C0507609152D0224",,"IBM iSeries - OS/400","4",
"PRD02B_RPT_13","Online","No",,"PRD02B_RPT_13","IBM.2107-75KBM71","C0507609152D0400, C0507609152D0404, C0507609152D0402, C0507609152D0406",,"IBM iSeries - OS/400","4",
"PRD02B_sys_01","Online","No",,"PRD02B_sys_01","IBM.2107-75KBM71","C0507609152D01D6, C0507609152D01AE, C0507609152D01C2, C0507609152D01EA",,"IBM iSeries - OS/400","4",
"PRD02B_sys_02","Online","No",,"PRD02B_sys_02","IBM.2107-75KBM71","C0507609152D01EC, C0507609152D01C4, C0507609152D01D8, C0507609152D01B0",,"IBM iSeries - OS/400","4",
"PRD02B_sys_03","Online","No",,"PRD02B_sys_03","IBM.2107-75KBM71","C0507609152D01EE, C0507609152D01DA, C0507609152D01B2, C0507609152D01C6",,"IBM iSeries - OS/400","4",
"PRD03B_BEN_01","Online","No",,"PRD03B_BEN_01","IBM.2107-75KBM71","C0507609152D018C, C0507609152D016E, C0507609152D01A0, C0507609152D015A",,"IBM iSeries - OS/400","4",
"PRD03B_CLM_01","Online","No",,"PRD03B_CLM_01","IBM.2107-75KBM71","C0507609152D0192, C0507609152D01A6, C0507609152D0160, C0507609152D0174",,"IBM iSeries - OS/400","4",
"PRD03B_CLM_02","Online","No",,"PRD03B_CLM_02","IBM.2107-75KBM71","C0507609152D0194, C0507609152D0178, C0507609152D0162, C0507609152D01A8",,"IBM iSeries - OS/400","4",
"PRD03B_CLM_03","Online","No",,"PRD03B_CLM_03","IBM.2107-75KBM71","C0507609152D01AA, C0507609152D017C, C0507609152D0164, C0507609152D0196",,"IBM iSeries - OS/400","4",
"PRD03B_CLM_04","Online","No",,"PRD03B_CLM_04","IBM.2107-75KBM71","C0507609152D0180, C0507609152D0166, C0507609152D01AC, C0507609152D0198",,"IBM iSeries - OS/400","4",
"PRD03B_CLM_05","Online","No",,"PRD03B_CLM_05","IBM.2107-75KBM71","C0507609152D0408, C0507609152D040C, C0507609152D040A, C0507609152D040E",,"IBM iSeries - OS/400","4",
"PRD03B_CLM_06","Online","No",,"PRD03B_CLM_06","IBM.2107-75KBM71","C0507609152D0414, C0507609152D0410, C0507609152D0412, C0507609152D0416",,"IBM iSeries - OS/400","4",
"PRD03B_sys_01","Online","No",,"PRD03B_sys_01","IBM.2107-75KBM71","C0507609152D0154, C0507609152D0182, C0507609152D0168, C0507609152D019A",,"IBM iSeries - OS/400","4",
"PRD03B_sys_02","Online","No",,"PRD03B_sys_02","IBM.2107-75KBM71","C0507609152D0186, C0507609152D0156, C0507609152D019C, C0507609152D016A",,"IBM iSeries - OS/400","4",
"PRD03B_sys_03","Online","No",,"PRD03B_sys_03","IBM.2107-75KBM71","C0507609152D019E, C0507609152D0158, C0507609152D0188, C0507609152D016C",,"IBM iSeries - OS/400","4",
